what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318904994129
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905001040
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905001050
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318905007639
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905007640
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905029212
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905029229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318905031057
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318905031094
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905031094
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905032468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905032483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318905032913
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318905032952
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905032952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905036260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905037344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318905044268
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905046556
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318905046567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905052948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905053103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905053120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905054546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905057723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905057827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905057840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905059043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905061659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905061750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905061764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905064079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318905064216
